domain,name,country
afghanuniversity.edu.af,Afghan University,Afghanistan
au.edu.af,Al-Birony University,Afghanistan
auaf.edu.af,American University of Afghanistan,Afghanistan
aria.edu.af,Aria Institute of Higher Education,Afghanistan
badakhshan.edu.af,Badakhshan University,Afghanistan
baghlan.edu.af,Baghlan University,Afghanistan
bakhtar.edu.af,Bakhtar University,Afghanistan
ba.edu.af,Balkh University,Afghanistan
bu.edu.af,Bamiyan University,Afghanistan
bost.edu.af,Bost University,Afghanistan
dawat.edu.af,Dawat University,Afghanistan
dunya.edu.af,Dunya Institute of Higher Education,Afghanistan
faryab.edu.af,Faryab Higher Education Institute,Afghanistan
gu.edu.af,Ghazni University,Afghanistan
hu.edu.af,Herat University,Afghanistan
ibnesina.edu.af,Ibn Sina University,Afghanistan
ju.edu.af,Jawzjan University,Afghanistan
kaboora.edu.af,Kaboora Institute of Higher Education,Afghanistan
keu.edu.af,Kabul Education University,Afghanistan
kabuli.edu.af,Kabul Health Sciences Institute,Afghanistan
kmu.edu.af,Kabul Medical University,Afghanistan
ku.edu.af,Kabul University,Afghanistan
kan.edu.af,Kandahar University,Afghanistan
kardan.edu.af,Kardan University,Afghanistan
karwan.edu.af,Karwan Institute of Higher Education,Afghanistan
kateb.edu.af,Kateb Institute of Higher Education,Afghanistan
ken.edu.af,Khana-e-Noor Institute of Higher Education,Afghanistan
kumsa.net,Khurasan University,Afghanistan
maryam.edu.af,Maryam Institute of Higher Education,Afghanistan
nu.edu.af,Nangarhar University,Afghanistan
nmaa.edu.af,National Military Academy of Afghanistan,Afghanistan
pu.edu.af,Paktia University,Afghanistan
pamir.edu.af,Pamir University,Afghanistan
parwan.edu.af,Parwan University,Afghanistan
polytechnic-kabul.org,Polytechnical University of Kabul,Afghanistan
rihs.edu.af,Rana Institute of Higher Education,Afghanistan
sadat.edu.af,Sadat Institute of Higher Education,Afghanistan
salam.edu.af,Salam University,Afghanistan
szu.edu.af,Shaikh Zayed University,Afghanistan
tu.edu.af,Takhar University,Afghanistan
akademiaearteve.edu.al,Academy of Arts,Albania
aefs.edu.al,Academy of Sports and Physical Training,Albania
ubt.edu.al,Agricultural University of Tirana,Albania
uat.edu.al,American University of Tirana,Albania
beder.edu.al,Beder University,Albania
epitech.al,Ecole pour l'Informatique et les nouvelles Technologies - Albania,Albania
epoka.edu.al,Epoka University,Albania
upt.al,Polytechnic University of Tirana,Albania
uniel.edu.al,"University of Elbasan ""Aleksander Xhuvani""",Albania
uogj.edu.al,"University of Gjirokstra ""Eqerem Cabej""",Albania
unkorce.edu.al,"University of Korca ""Fan Noli""",Albania
unyt.edu.al,University of New York Tirana,Albania
unishk.edu.al,"University of Shkodra ""Luigj Gurakuqi""",Albania
unitir.edu.al,University of Tirana,Albania
univlora.edu.al,"University of Vlora ""Ismail Qemali""",Albania
unipavaresia.edu.al,University “Pavaresia” Vlore,Albania
univ-oeb.dz,Centre Universitaire d'Oum El Bouaghi,Algeria
univ-jijel.dz,Centre Universitaire de Jijel,Algeria
univ-tebessa.dz,Centre Universitaire de Tebessa,Algeria
univ-tiaret.dz,Centre Universitaire de Tiaret,Algeria
univ-emir.dz,Universite des Sciences Islamiques de Constantine,Algeria
univ-tlemcen.dz,"Université Abou Bekr Belkaid, Tlemcen",Algeria
lagh-univ.dz,Université Amar Telidji,Algeria
univ-annaba.dz,Université Badji Mokhtar,Algeria
univ-ouargla.dz,Université Kasdi Merbah Ouargla,Algeria
umbb.dz,Université M'hamed Bouguerra de Boumerdes,Algeria
umc.edu.dz,Université Mentouri Constantine,Algeria
ummto.dz,Université Mouloud Mammeri de Tizi Ouzou,Algeria
univ-alger.dz,Université d'Alger,Algeria
univ-alger3.dz,Université d'Alger 3,Algeria
univ-oran.dz,Université d'Oran Es-Senia,Algeria
univ-batna.dz,Université de Batna,Algeria
univ-biskra.dz,Université de Biskra,Algeria
univ-blida.dz,Université de Blida,Algeria
univ-bejaia.dz,Université de Béjaia,Algeria
univ-chlef.dz,Université de Chlef,Algeria
univ-guelma.dz,Université de Guelma,Algeria
univ-msila.dz,Université de M'sila,Algeria
univ-mosta.dz,Université de Mostaganem,Algeria
univ-saida.dz,Université de Saida,Algeria
univ-sba.dz,Université de Sidi-Bel-Abbès (Djillali Liabès),Algeria
univ-skikda.dz,Université de Skikda,Algeria
univ-setif.dz,Université de Sétif,Algeria
usthb.dz,Université des Sciences et de la Technologie Houari Boumediène,Algeria
univ-usto.dz,Université des Sciences et de la Technologie d'Oran,Algeria
uda.ad,University of Andorra,Andorra
ucan.edu,Universidade Católica de Angola,Angola
ugs.ed.ao,Universidade Gregorio Semedo,Angola
unia.ao,Universidade Independente de Angola,Angola
ulangola.net,Universidade Lusíada de Angola,Angola
uma.co.ao,Universidade Metodista de Angola,Angola
unimetroangola.com,Universidade Metropolitana de Angola,Angola
utanga.co.ao,Universidade Tecnica de Angola,Angola
uan.ao,Univesidade Agostinho Neto,Angola
auamed.org,American University of Antigua,Antigua and Barbuda
uhsa.ag,University of Health Sciences Antigua,Antigua and Barbuda
unlu.edu.ar,"Instituto Nacional de Educación Física ""General Manuel Belgrano""",Argentina
itba.edu.ar,Instituto Tecnológico de Buenos Aires,Argentina
iua.edu.ar,Instituto Universitario Aeronáutico,Argentina
cema.edu.ar,Instituto Universitario CEMA,Argentina
iuna.edu.ar,Instituto Universitario Nacional del Arte,Argentina
iucs.uncoma.edu.ar,Instituto Universitario de Ciencias de la Salud - Buenos Aires,Argentina
inun.edu.ar,Instituto Universitario de Estudios Navales y Marítimos,Argentina
universidad-policial.edu.ar,Instituto Universitario de la Policia Federal,Argentina
iese.edu.ar,Instituto de Enseñanza Superior del Ejército,Argentina
umaza.edu.ar,"Universidad ""Juan Agustín Maza""",Argentina
vaneduc.edu.ar,Universidad Abierta Interamericana,Argentina
uapar.edu,Universidad Adventista del Plata,Argentina
kennedy.edu.ar,"Universidad Argentina ""John F. Kennedy""",Argentina
uade.edu.ar,Universidad Argentina de la Empresa,Argentina
atlantida.edu.ar,Universidad Atlantida Argentina,Argentina
austral.edu.ar,Universidad Austral Buenos Aires,Argentina
uader.edu.ar,Universidad Autónoma de Entre Ríos,Argentina
ubp.edu.ar,Universidad Blas Pascal,Argentina
caece.edu.ar,"Universidad CAECE, Buenos Aires",Argentina
uca.edu.ar,Universidad Católica Argentina Santa Maria de los Buenos Aires,Argentina
uccuyo.edu.ar,Universidad Católica de Cuyo,Argentina
uccor.edu.ar,Universidad Católica de Córdoba,Argentina
ucalp.edu.ar,Universidad Católica de La Plata,Argentina
ucasal.net,Universidad Católica de Salta,Argentina
ucsf.edu.ar,Universidad Católica de Santa Fé,Argentina
ucse.edu.ar,Universidad Católica de Santiago del Estero,Argentina
uch.edu.ar,Universidad Champagnat,Argentina
uesiglo21.edu.ar,Universidad Empresarial Siglio 21,Argentina
maimonides.edu.ar,Universidad Maimónides,Argentina
unca.edu.ar,Universidad Nacional de Catamarca,Argentina
uncu.edu.ar,Universidad Nacional de Cuyo,Argentina
unc.edu.ar,Universidad Nacional de Córdoba,Argentina
uner.edu.ar,Universidad Nacional de Entre Ríos,Argentina
unf.edu.ar,Universidad Nacional de Formosa,Argentina
unsam.edu.ar,Universidad Nacional de General San Martín,Argentina
ungs.edu.ar,Universidad Nacional de General Sarmiento,Argentina
unju.edu.ar,Universidad Nacional de Jujuy,Argentina
unlam.edu.ar,Universidad Nacional de La Matanza,Argentina
unlpam.edu.ar,Universidad Nacional de La Pampa,Argentina
unlp.edu.ar,Universidad Nacional de La Plata,Argentina
unlar.edu.ar,Universidad Nacional de La Rioja,Argentina
unla.edu.ar,Universidad Nacional de Lanus,Argentina
unlz.edu.ar,Universidad Nacional de Lomas de Zamora,Argentina
unlu.edu.ar,Universidad Nacional de Luján,Argentina
mdp.edu.ar,Universidad Nacional de Mar del Plata,Argentina
unam.edu.ar,Universidad Nacional de Misiones,Argentina
unq.edu.ar,Universidad Nacional de Quilmes,Argentina
unr.edu.ar,Universidad Nacional de Rosario,Argentina
unrc.edu.ar,Universidad Nacional de Río Cuarto,Argentina
unsa.edu.ar,Universidad Nacional de Salta,Argentina
unsj.edu.ar,Universidad Nacional de San Juan,Argentina
unsl.edu.ar,Universidad Nacional de San Luis,Argentina
unse.edu.ar,Universidad Nacional de Santiago del Estero,Argentina
untref.edu.ar,Universidad Nacional de Tres de Febrero,Argentina
unt.edu.ar,Universidad Nacional de Tucumán,Argentina
webs.satlink.com,Universidad Nacional de Villa María,Argentina
unp.edu.ar,"Universidad Nacional de la Patagonia ""San Juan Bosco""",Argentina
unpa.edu.ar,Universidad Nacional de la Patagonia Austral,Argentina
unicen.edu.ar,Universidad Nacional del Centro de la Provincia de Buenos Aires,Argentina
uncoma.edu.ar,Universidad Nacional del Comahue,Argentina
unl.edu.ar,Universidad Nacional del Litoral,Argentina
unne.edu.ar,Universidad Nacional del Nordeste,Argentina
unnoba.edu.ar,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,Argentina
uns.edu.ar,Universidad Nacional del Sur,Argentina
universidadnotarial.edu.ar,Universidad Notarial Argentina,Argentina
utn.edu.ar,Universidad Tecnológica Nacional,Argentina
utdt.edu,Universidad Torcuato di Tella,Argentina
ub.edu.ar,Universidad de Belgrano,Argentina
unibo.edu.ar,Universidad de Bologna - Representación en Buenos Aires,Argentina
uba.ar,Universidad de Buenos Aires,Argentina
uces.edu.ar,Universidad de Ciencias Empresariales y Sociales,Argentina
ucu.edu.ar,Universidad de Concepción del Uruguay,Argentina
ucongres.edu.ar,Universidad de Congreso,Argentina
uflo.edu.ar,Universidad de Flores - Buenos Aires,Argentina
um.edu.ar,Universidad de Mendoza,Argentina
unimoron.edu.ar,Universidad de Morón,Argentina
palermo.edu.ar,Universidad de Palermo,Argentina
udesa.edu.ar,Universidad de San Andres,Argentina
ucp.edu.ar,Universidad de la Cuenca del Plata,Argentina
ufasta.edu.ar,Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino (FASTA),Argentina
udemm.edu.ar,Universidad de la Marina Mercante,Argentina
uda.edu.ar,Universidad del Aconcagua,Argentina
ucel.edu.ar,Universidad del Centro Educativo Latinoamericano Rosario,Argentina
ucine.edu.ar,Universidad del Cine - Buenos Aires,Argentina
umsa.edu.ar,Universidad del Museo Social Argentino,Argentina
unsta.edu.ar,"Universidad del Norte ""Santo Tomás de Aquino""",Argentina
salvador.edu.ar,Universidad del Salvador,Argentina
aua.am,American University of Armenia,Armenia
asau.am,Armenian State Agrarian University,Armenia
asue.am,Armenian State University of Economics,Armenia
eiu.am,Eurasia International University,Armenia
eriicta.am,European Regional Educational Academy of Armenia,Armenia
ufar.am,French University in Armenia (UFAR),Armenia
armmed.am,Mehrabyan Medical Institute and Medical College,Armenia
rau.am,Russian-Armenian (Slavonic) State University,Armenia
seua.am,State Engineering University of Armenia,Armenia
haybusak.org,Yerevan Haibusak University,Armenia
ysmu.am,Yerevan State Medical University,Armenia
ysu.am,Yerevan State University,Armenia
acu.edu.au,Australian Catholic University,Australia
acs.edu.au,Australian Correspondence Schools,Australia
adfa.oz.au,Australian Defence Force Academy,Australia
alc.edu.au,Australian Lutheran College,Australia
amc.edu.au,Australian Maritime College,Australia
anu.edu.au,Australian National University,Australia
avondale.edu.au,Avondale College,Australia
nt.gov.au,Batchelor Institute of Indigenous Tertiary Education,Australia
hotelschool.com.au,Blue Mountains Hotel School,Australia
bond.edu.au,Bond University,Australia
bhtafe.edu.au,Box Hill Institute,Australia
boxhill.edu.au,Box Hill Institute,Australia
cqu.edu.au,Central Queensland University,Australia
cdu.edu.au,Charles Darwin University,Australia
csu.edu.au,Charles Sturt University,Australia
curtin.edu.au,Curtin University of Technology,Australia
deakin.edu.au,Deakin University,Australia
ecu.edu.au,Edith Cowan University,Australia
federation.edu.au,Federation University Australia,Australia
flinders.edu.au,Flinders University of South Australia,Australia
griffith.edu.au,Griffith University,Australia
holmes.edu.au,Holmes Institute,Australia
iota.edu.au,"Institute Of Technology, Australia",Australia
icthm.edu.au,International College of Tourism and Hotel Management,Australia
jcu.edu.au,James Cook University of North Queensland,Australia
latrobe.edu.au,La Trobe University,Australia
linuwel.nsw.edu.au,Linuwel School,Australia
mq.edu.au,Macquarie University,Australia
marcusoldham.vic.edu.au,Marcus Oldham College,Australia
monash.edu,Monash University,Australia
monash.edu.au,Monash University,Australia
murdoch.edu.au,Murdoch University,Australia
student.murdoch.edu.au,Murdoch University,Australia
qut.edu.au,Queensland University of Technology,Australia
rmit.edu.au,Royal Melbourne Institute of Technology,Australia
scu.edu.au,Southern Cross University,Australia
swin.edu.au,Swinburne University of Technology,Australia
torrens.edu.au,Torrens University Australia,Australia
tua.edu.au,Torrens University Australia,Australia
adelaide.edu.au,University of Adelaide,Australia
canberra.edu.au,University of Canberra,Australia
unimelb.edu,University of Melbourne,Australia
unimelb.edu.au,University of Melbourne,Australia
une.edu.au,University of New England,Australia
unsw.edu.au,University of New South Wales,Australia
newcastle.edu.au,University of Newcastle,Australia
nd.edu.au,University of Notre Dame Australia,Australia
uq.edu.au,University of Queensland,Australia
unisa.edu.au,University of South Australia,Australia
usq.edu.au,University of Southern Queensland,Australia
sydney.edu.au,University of Sydney,Australia
usyd.edu.au,University of Sydney,Australia
uni.sydney.edu.au,University of Sydney,Australia
utas.edu.au,University of Tasmania,Australia
uts.edu.au,University of Technology Sydney,Australia
student.uts.edu.au,University of Technology Sydney,Australia
uwa.edu.au,University of Western Australia,Australia
uws.edu.au,University of Western Sydney,Australia
uow.edu.au,University of Wollongong,Australia
uowmail.edu.au,University of Wollongong,Australia
usc.edu.au,University of the Sunshine Coast,Australia
vu.edu.au,Victoria University,Australia
akbild.ac.at,Akademie der bildenden Künste Wien,Austria
donau-uni.ac.at,Donau-Universität Krems,Austria
fh-burgenland.at,Fachhochschule Burgenland,Austria
fh-joanneum.at,Fachhochschule JOANNEUM,Austria
fh-krems.ac.at,Fachhochschule Krems,Austria
fh-kufstein.ac.at,Fachhochschule Kufstein (Tirol),Austria
fh-kaernten.ac.at,Fachhochschule Kärnten,Austria
fh-sbg.ac.at,Fachhochschule Salzburg,Austria
fh-stpoelten.ac.at,Fachhochschule St. Pölten,Austria
fhv.at,Fachhochschule Vorarlberg,Austria
fhwn.ac.at,Fachhochschule Wiener Neustadt,Austria
fh-vie.ac.at,Fachhochschule für Bank- und Finanzwirtschaft,Austria
fh-hagenberg.at,Fachhochschulstudiengänge Hagenberg,Austria
imc-krems.ac.at,Fachhochschulstudiengänge Krems IMC,Austria
fh-steyr.at,Fachhochschulstudiengänge Steyr,Austria
fh-wels.at,Fachhochschulstudiengänge Wels,Austria
fhw.at,Fachhochschulstudiengänge der Wiener Wirtschaft,Austria
htl-villach.at,HTL Villach,Austria
edu.htl-villach.at,HTL Villach,Austria
htl-wels.at,HTL WELS,Austria
ist.ac.at,Institute of Science and Technology,Austria
jku.at,Johannes Kepler Universität Linz,Austria
kth-linz.ac.at,Katholisch-Theologische Privatuniversität Linz,Austria
mci.edu,MCI-Management Center Innsbruck,Austria
meduni-graz.at,Medizinische Universität Graz,Austria
i-med.ac.at,Medizinische Universität Innsbruck,Austria
meduniwien.at,Medizinische Universität Wien,Austria
unileoben.ac.at,Montanuniversität Leoben,Austria
umit.at,Private Universität für Medizinische Informatik und Technik Tirol,Austria
technikum-wien.at,Technikum Wien,Austria
tugraz.at,Technische Universität Graz,Austria
tuwien.ac.at,Technische Universität Wien,Austria
kfunigraz.ac.at,Universität Graz,Austria
uibk.ac.at,Universität Innsbruck,Austria
uni-klu.ac.at,Universität Klagenfurt,Austria
moz.ac.at,Universität Mozarteum Salzburg,Austria
sbg.ac.at,Universität Salzburg,Austria
univie.ac.at,Universität Vienna,Austria
boku.ac.at,Universität für Bodenkultur Wien,Austria
mdw.ac.at,Universität für Musik und darstellende Kunst  Wien,Austria
kug.ac.at,Universität für Musik und darstellende Kunst Graz,Austria
ns2.uni-ak.ac.at,Universität für angewandte Kunst Wien,Austria
khs-linz.ac.at,Universität für künstlerische und industrielle Gestaltung Linz,Austria
vu-wien.ac.at,Veterinärmedizinische Universität Wien,Austria
webster.ac.at,"Webster University, Vienna",Austria
wu-wien.ac.at,Wirtschaftsuniversität Wien,Austria
wu.ac.at,Wirtschaftsuniversität Wien,Austria
ada.edu.az,Azerbaijan Diplomatic Academy,Azerbaijan
amu.edu.az,Azerbaijan Medical University,Azerbaijan
conservatory.az,Azerbaijan National Conservatorie,Azerbaijan
adau.edu.az,Azerbaijan State Agricultural Academy,Azerbaijan
ascca.gov.az,Azerbaijan State Customs Committee Academy,Azerbaijan
adda.edu.az,Azerbaijan State Marine Academy,Azerbaijan
adpu.edu.az,Azerbaijan State Pedagogic University,Azerbaijan
admiu.edu.az,Azerbaijan State University of Culture and Arts,Azerbaijan
unec.edu.az,Azerbaijan State University of Economics,Azerbaijan
asoiu.edu.az,Azerbaijan State University of Oil and Industry,Azerbaijan
aztu.edu.az,Azerbaijan Technical University,Azerbaijan
tourism.edu.az,Azerbaijan Toursim Institute,Azerbaijan
au.edu.az,Azerbaijan University,Azerbaijan
azmiu.edu.az,Azerbaijan University of Architecture and Construction,Azerbaijan
adu.edu.az,Azerbaijan University of Languages,Azerbaijan
musicacademy.edu.az,Baku Academy of Music,Azerbaijan
bbu.edu.az,Baku Business University,Azerbaijan
bsu-edu.org,Baku Slavic University,Azerbaijan
bsu.edu.az,Baku State University,Azerbaijan
gdu.edu.az,Ganja State University,Azerbaijan
khazar.org,Khazar University,Azerbaijan
lsu.edu.az,Lankaran State University,Azerbaijan
mdu.edu.az,Mingechevir State University,Azerbaijan
az-npu.org,Nakhchivan Private University,Azerbaijan
ndu.edu.az,Nakhchivan State University,Azerbaijan
naa.edu.az,National Aviation Academy,Azerbaijan
oyu.edu.az,Odlar Yurdu University,Azerbaijan
pa.edu.az,Police Academy,Azerbaijan
qu.edu.az,Qafqaz University,Azerbaijan
sdu.edu.az,Sumgait State University,Azerbaijan
dia.edu.az,The Academy of Public Administration,Azerbaijan
wu.edu.az,Western University,Azerbaijan
cob.edu.bs,The College of The Bahamas,Bahamas
ahliauniversity.org,Al Ahlia University,Bahrain
amaiu.edu.bh,Ama International University,Bahrain
asb.bh,American School of Bahrain,Bahrain
asu.edu.bh,Applied Science University,Bahrain
aou.org.bh,Arab Open University,Bahrain
agu.edu.bh,Arabian Gulf University,Bahrain
gulfuniversity.net,Gulf University College,Bahrain
nyit.edu.bh,New York Instiute of Technology,Bahrain
rcsi-mub.com,RCSI-Medical University of Bahrain,Bahrain
ku.edu.bh,The Kingdom University,Bahrain
ucb.edu.bh,University College Bahrain,Bahrain
uob.edu.bh,University of Bahrain,Bahrain
aust.edu,Ahsanullah University of Science & Technology,Bangladesh
aiub.edu,American International University - Bangladesh,Bangladesh
asaub.edu.bd,Asa University Bangladesh,Bangladesh
aub-bd.org,Asian University of Bangladesh,Bangladesh
atishdipankaruniversity.edu.bd,Atish Dipankar University,Bangladesh
bgctrustbd.org,"BGC Trust University, Bangladesh",Bangladesh
bsmrau.edu.bd,Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangladesh
bsmmu.edu.bd,Bangabandhu Sheikh Mujibur Rahman Medical University,Bangladesh
bau.edu.bd,Bangladesh Agricultural University,Bangladesh
bou.edu.bd,Bangladesh Open University,Bangladesh
bu.edu.bd,Bangladesh University,Bangladesh
bubt.edu.bd,Bangladesh University of Business & Technology,Bangladesh
buet.ac.bd,Bangladesh University of Engineering and Technology,Bangladesh
bup.edu.bd,Bangladesh University of Professionals,Bangladesh
butex.edu.bd,Bangladesh University of Textiles,Bangladesh
brur.ac.bd,"Begum Rokeya University, Rangpur",Bangladesh
bracuniversity.net,Brac University,Bangladesh
cuet.ac.bd,Chittagong University of Engineering and Technology,Bangladesh
cityuniversity.edu.bd,City University,Bangladesh
cou.ac.bd,Comilla University,Bangladesh
daffodilvarsity.edu.bd,Daffodil International University,Bangladesh
diu.edu.bd,Daffodil International University,Bangladesh
diu.ac.bd,Darul Ihsan University,Bangladesh
diu.net.bd,Dhaka International University,Bangladesh
duet.ac.bd,Dhaka University of Engineering and Technology,Bangladesh
eastdelta.edu.bd,East Delta University,Bangladesh
ewubd.edu,East West University,Bangladesh
ewubd.edu,"East-West University, Mohakhali",Bangladesh
easternuni.edu.bd,Eastern University,Bangladesh
green.edu.bd,Green University of Bangladesh,Bangladesh
hstu.ac.bd,Hajee Mohammad Danesh Science and Technology University,Bangladesh
ibaisuniv.edu.bd,IBAIS University,Bangladesh
iub.edu.bd,"Independent University, Bangladesh",Bangladesh
icu-edu.org,International Culture University,Bangladesh
iiuc.ac.bd,International Islamic University Chittagong,Bangladesh
iubat.edu,International University of Business Agriculture and Technology,Bangladesh
iu.ac.bd,Islamic University Kushtia,Bangladesh
iutoic-dhaka.edu,Islamic University of Technology,Bangladesh
jnu.ac.bd,Jagannath University,Bangladesh
juniv.edu,Jahangirnagar University,Bangladesh
jkkniu.edu.bd,Jatiya Kabi Kazi Nazrul Islam University,Bangladesh
ku.ac.bd,Khulna University,Bangladesh
kuet.ac.bd,Khulna University of Engineering And Technology,Bangladesh
lus.ac.bd,Leading University,Bangladesh
manarat.ac.bd,Manarat International University,Bangladesh
mbstu.ac.bd,Mawlana Bhashani Science And Technology University,Bangladesh
metrouni.edu.bd,Metropolitan University,Bangladesh
mist.ac.bd,Military Institute of Science and Technology,Bangladesh
nu.edu.bd,National University,Bangladesh
nstu.edu.bd,Noakhali University of Science and Technology,Bangladesh
neub.edu.bd,North East University Bangladesh,Bangladesh
northsouth.edu,North South University,Bangladesh
nub.ac.bd,Northern University Bangladesh,Bangladesh
pust.ac.bd,Pabna University of Science and Technology,Bangladesh
pstu.ac.bd,Patuakhali Science and Technology University,Bangladesh
pub.ac.bd,People's University of Bangladesh,Bangladesh
puc.ac.bd,Premier University,Bangladesh
presidency.edu.bd,Presidency University,Bangladesh
queensuniversity.edu.bd,Queens University,Bangladesh
ruet.ac.bd,Rajshahi University of Engineering and Technology,Bangladesh
sust.edu,Shahjalal University of Science and Technology,Bangladesh
seu.ac.bd,Southeast University,Bangladesh
southern.edu.bd,Southern University Bangladesh,Bangladesh
stamforduniversity.edu.bd,Stamford University,Bangladesh
sau.ac.bd,Sylhet Agricultural University,Bangladesh
sec.ac.bd,Sylhet Engineering College,Bangladesh
siu.edu.bd,Sylhet International University,Bangladesh
uiu.ac.bd,United International University,Bangladesh
uap-bd.edu,"University of Asia Pacific, Dhanmondi",Bangladesh
cu.ac.bd,University of Chittagong,Bangladesh
uoda.edu.bd,University of Development Alternative,Bangladesh
du.ac.bd,University of Dhaka,Bangladesh
uits.edu.bd,University of Information Technology & Sciences,Bangladesh
ulab.edu.bd,University of Liberal Arts,Bangladesh
ru.ac.bd,University of Rajshahi,Bangladesh
ustc.ac.bd,University of Science & Technology Chittagong,Bangladesh
wub.edu,World University of Bangladesh,Bangladesh
uwichill.edu.bb,"University of the West Indies, Cave Hill",Barbados
pac.by,Academy of Public Administration of Belarus,Belarus
academy.mia.by,Academy of the Ministry of Internal Affairs of the Republic of Belarus,Belarus
bru.mogilev.by,Belarusian-Russian University,Belarus
bntu.by,Belarussian National Technical University,Belarus
bgam.edu.by,Belarussian State Academy of Music,Belarus
batu.edu.by,Belarussian State Agrarian Technical University,Belarus
baa.by,Belarussian State Agricultural Academy,Belarus
bseu.by,Belarussian State Economic University,Belarus
bsmu.by,Belarussian State Medical University,Belarus
bspu.unibel.by,Belarussian State Pedagogical University M. Tanka,Belarus
bspa.unibel.by,Belarussian State Polytechnical Academy,Belarus
bstu.unibel.by,Belarussian State Technological University,Belarus
bsu.by,Belarussian State University,Belarus
buk.by,Belarussian State University of Culture and Arts,Belarus
bsuir.by,Belarussian State University of Informatics and Radioelectronics,Belarus
belsut.gomel.by,Belarussian State University of Transport,Belarus
bstu.by,Brest State Technical University,Belarus
brsu.brest.by,Brest State University,Belarus
data.minsk.by,European Humanities University,Belarus
meduniver.gomel.by,Gomel State Medical University,Belarus
gstu.gomel.by,Gomel State Technical University Pavel Sukhoi,Belarus
gsu.unibel.by,Gomel State University Francisk Scarnia,Belarus
uni-agro.grodno.by,Grodno State Agrarian University,Belarus
grsmu.by,Grodno State Medical University,Belarus
grsu.by,Grodno State University Yanka Kupaly,Belarus
kii.gov.by,Institute for Command Engineers of The Ministry for Emergency Situations,Belarus
iseu.by,International Sakharov Environmental University,Belarus
miu.by,Minsk Institute of Management,Belarus
mslu.by,Minsk State Linguistic University,Belarus
msu.mogilev.by,Mogilev State University A.A. Kuleshov,Belarus
mgpu.gomel.by,Mozyr State Pedagogical Institute,Belarus
psu.by,Polotsk State University,Belarus
vsavm.com,Vitebsk State Academy of Veterinary Medicine,Belarus
vgmu.vitebsk.by,Vitebsk State Medical University,Belarus
vstu.vitebsk.by,Vitebsk State Technological University,Belarus
vsu.by,Vitebsk State University,Belarus
brexgata.eu,Brexgata University Academy,Belgium
ichec.be,Brussels Management School (ICHEC),Belgium
ukc.ac.uk,Brussels School of International Studies,Belgium
coleurope.eu,College of Europe,Belgium
ctsem.edu,Continental Theological Seminary,Belgium
ecam.be,ECAM - Institut Supérieur Industriel,Belgium
ehsal.be,EHSAL - Europese Hogeschool Brussel,Belgium
ehb.be,Erasmushogeschool Brussel,Belgium
carolus-magnus-university.eu,European Carolus Magnus University,Belgium
europeaniu.org,European International University,Belgium
etf.edu,"Evangelische Theologische Faculteit, Leuven",Belgium
fpms.ac.be,Faculté Polytechnique de Mons,Belgium
fsagx.ac.be,Faculté Universitaire des Sciences Agronomiques de Gembloux,Belgium
fucam.ac.be,Facultés Universitaires Catholiques de Mons,Belgium
fundp.ac.be,Facultés Universitaires Notre-Dame de la Paix,Belgium
fusl.ac.be,Facultés Universitaires Saint-Louis,Belgium
ful.ac.be,Fondation Universitaire Luxembourgeoise,Belgium
uhasselt.be,Hasselt University,Belgium
hzs.be,Hogere Zeevaartschool - Maritime Academy,Belgium
ha.be,Hogeschool Antwerpen,Belgium
hogent.be,Hogeschool Gent,Belgium
howest.be,Hogeschool West-Vlaanderen (TU),Belgium
wenk.be,Hogeschool voor Wetenschap & Kunst,Belgium
vlekho.be,"Hogeschool voor Wetenschap en Kunst (VLEKHO), Brussel",Belgium
kdg.be,Karel De Grote Hogeschool,Belgium
khk.be,Katholieke Hogeschool Kempen,Belgium
khleuven.be,Katholieke Hogeschool Leuven,Belgium
khlim.be,Katholieke Hogeschool Limburg,Belgium
kubrussel.ac.be,Katholieke Universiteit Brussel,Belgium
kuleuven.ac.be,Katholieke Universiteit Leuven,Belgium
kulak.ac.be,"Katholieke Universiteit Leuven, Campus Kortrijk",Belgium
uclouvain.be,Louvain School of Management,Belgium
rma.ac.be,Royal Military Academy,Belgium
exed.solvay.edu,Solvay Brussels School Economics & Management,Belgium
thierryschool.org,Thierry Graduate School of Leadership,Belgium
thomasmore.be,Thomas More Hogeschool,Belgium
ubi.edu,United Business Institute,Belgium
ua.ac.be,Universiteit Antwerpen,Belgium
uantwerpen.be,Universiteit Antwerpen,Belgium
uams.be,Universiteit Antwerpen Management School,Belgium
ufsia.ac.be,"Universiteit Antwerpen, UFSIA",Belgium
ugent.be,Universiteit Gent,Belgium
rug.ac.be,Universiteit Gent,Belgium
odisee.be,University College Odisee,Belgium
student.uliege.be,University of Liège,Belgium
helpnet.uliege.be,University of Liège,Belgium
ddi.uliege.be,University of Liège,Belgium
uliege.be,University of Liège,Belgium
ucl.ac.be,Université Catholique de Louvain,Belgium
ulb.ac.be,Université Libre de Bruxelles,Belgium
uliege.be,Université de Liège,Belgium
umh.ac.be,Université de Mons-Hainaut,Belgium
vesalius.edu,Vesalius College,Belgium
vlerick.com,Vlerick Brussels Campus,Belgium
